Item_id,brand,price,available,sold,lastUpdated,itemLocation
50,Carolina Herrera,43.99,2,393,"May 23, 2024 10:43:50 PDT","Thomasville, Alabama, United States"
51,As Shown,79.99,5,40,"May 24, 2024 00:15:48 PDT","New Jersey, Hong Kong"
52,PRADA,59.99,10,35,"May 14, 2024 20:54:25 PDT","Orange, New Jersey, United States"
53,As Show,59.99,10,9,"May 23, 2024 01:23:05 PDT","USA, New Jersey, Hong Kong"
54,Khadlaj,29.99,10,,,"Little Ferry, New Jersey, United States"
55,Viktor & Rolf,51.99,8,184,"May 23, 2024 10:44:09 PDT","Warren, Michigan, United States"
56,AS SHOW,58.99,,18,"May 24, 2024 00:15:13 PDT","Astoria, New York, United States"
57,Versace,52.79,6,258,"May 21, 2024 06:41:13 PDT","Dexter, Michigan, United States"
58,Versace,29.99,,251,"May 23, 2024 22:39:02 PDT","Jamaica, New York, United States"
59,Lattafa,22.75,10,174,"May 24, 2024 00:25:04 PDT","New York, New York, United States"
60,Yves Saint Laurent,39.99,10,77,"May 24, 2024 11:01:13 PDT","Ecorse, Michigan, United States"
61,Gucci,64.99,10,35,"May 24, 2024 11:01:04 PDT","Ecorse, Michigan, United States"
62,Carolina Herrera,60.99,2,51,"May 23, 2024 16:56:32 PDT","Quinlan, Texas, United States"
63,Carolina Herrera,43.49,2,20,"May 22, 2024 10:25:36 PDT","Cincinnati, Ohio, United States"
64,Coach,29.2,10,505,"May 08, 2024 09:46:06 PDT","Edison, New Jersey, United States"
65,Guerlain,13,10,94,"May 24, 2024 09:43:51 PDT","New York, New York, United States"
66,Philosophy,39.69,10,234,"May 24, 2024 10:21:14 PDT","Edison, New Jersey, United States"
67,Marc Jacobs,59.99,6,34,"May 22, 2024 18:32:01 PDT","New York,USA, Hong Kong"
68,AS SHOWN,59.99,,43,"May 23, 2024 01:10:19 PDT","New York, New York, United States"
69,Dolce & Gabbana,11,10,1613,"Apr 05, 2024 00:52:19 PDT","Albany, New York, United States"
70,QRC,27,10,218,"Mar 20, 2024 12:14:58 PDT","Oklahoma City, Oklahoma, United States"
72,Unbranded,16.27,300,38,"May 24, 2024 08:20:15 PDT","shanghai, China"
73,YSL,54.95,,25,"May 24, 2024 00:08:02 PDT","Stuyvesant Falls, New York, United States"
74,Carolina Herrera,49.99,6,183,"May 23, 2024 09:40:39 PDT","Macomb, Michigan, United States"
75,Parfums de Marly,84.99,4,71,"May 22, 2024 01:30:45 PDT","California or Hong Kong, Hong Kong"
76,Yves Saint Laurent,39.99,8,126,"May 24, 2024 05:51:11 PDT","Farmington, Michigan, United States"
77,Dolce&Gabbana,53.99,,54,"May 24, 2024 03:14:29 PDT","Ecorse, Michigan, United States"
78,EX NIHILO,99.99,4,29,"May 23, 2024 03:50:04 PDT","California or Hong Kong, Hong Kong"
79,Juliette has a gun,40.92,,1571,"May 24, 2024 07:32:36 PDT","Hackensack, New Jersey, United States"
80,Davidoff,22.9,10,291,"May 08, 2024 17:11:47 PDT","Princeton Junction, New Jersey, United States"
81,Viktor & Rolf,42,4,406,"May 23, 2024 22:57:33 PDT","Portland, Oregon, United States"
82,Giorgi^o Armani,44.88,7,147,"May 20, 2024 00:21:18 PDT","South El Monte, California, United States"
83,PRADA,66.99,10,3,"May 23, 2024 18:00:47 PDT","Perth Amboy, New Jersey, United States"
84,Roja,129.99,5,37,"May 24, 2024 09:25:04 PDT","United States, Canada"
85,AS SHOWN,22.99,10,11,"May 24, 2024 06:30:59 PDT","CA, China"
86,Parfums de Marly,12,10,59,,"Albany, New York, United States"
87,Marc Jacobs,32.95,10,68,"May 17, 2024 04:50:31 PDT","College Point, New York, United States"
88,Ariana Grande,31.05,9,54,"May 23, 2024 21:28:14 PDT","Detroit, Michigan, United States"
89,Versace,32.2,60,157,"May 17, 2024 06:09:15 PDT","Dallas, Texas, United States"
90,Sol De Janeiro,17.9,10,4,"May 21, 2024 19:47:36 PDT","Round Rock, Texas, United States"
91,Kilian,29.75,9,80,"May 24, 2024 09:49:39 PDT","Tulsa, Oklahoma, United States"
92,Donna Karan,19.99,10,441,"May 20, 2024 11:47:05 PDT","Elizabeth, New Jersey, United States"
93,Carolina Herrera,43.99,2,16,"May 24, 2024 02:41:54 PDT","San Jose, California, United States"
